row_type,service,tool,phase,bug_id,description,category,category_group,severity,severity_band,reported_severity_source,reported_severity_band,reported_severity,found_by_chaosarena,found_by_claude_code,found_by_autoresttest,source_ref,occurrences,notes,raw_reported_bugs,confirmed_unique_bugs,required_unique_bugs,exploration_unique_bugs,concurrency_unique_bugs,critical_high_bugs,cost_usd,bugs_per_dollar,verdict_agent_cost_usd,verdict_drafter_cost_usd,verdict_total_cost_usd,verdict_bugs_per_dollar,verdict_started_at_utc,verdict_finished_at_utc,verdict_duration_seconds,verdict_duration_minutes,duration_seconds,duration_minutes,turns,tool_calls,input_tokens,output_tokens,cache_creation_input_tokens,cache_read_input_tokens,total_tokens,pricing_version,total_requests_sent,status_200,status_201,status_204,status_400,status_404,status_405,status_406,status_415,status_500,total_operations,successful_operations,successful_operations_pct,unique_server_errors,operations_with_server_errors,source_file
bug,user-mgmt,ChaosArena,exploration,U16,PUT /users/rbac/permissions returns 500 when request body lacks required fields,HTTP Semantics,HTTP Semantics,HIGH,high,impact_reclassified,high,HIGH,TRUE,FALSE,FALSE,CA:Exploratory #35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,user-mgmt,ChaosArena,exploration,U17,Empty string username accepted on POST /users/register — bypasses uniqueness check,Input Validation,Input Validation,MEDIUM,medium,impact_reclassified,medium,MEDIUM,TRUE,FALSE,FALSE,CA:Exploratory #39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,user-mgmt,ChaosArena,exploration,U18,Login error message reveals account status enabling username enumeration,Security,Auth / IDOR / Security,MEDIUM,medium,impact_reclassified,medium,MEDIUM,TRUE,FALSE,FALSE,CA:Exploratory #41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,user-mgmt,ChaosArena,exploration,U19,Role names stored with surrounding double-quote characters when created via API,API Design,Data Integrity / API Design,LOW,low,impact_reclassified,low,LOW,TRUE,FALSE,FALSE,CA:Exploratory #42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,user-mgmt,Claude Code,single_phase,U20,POST /users/register with existing username returns 500 instead of 409 Conflict,HTTP Semantics,HTTP Semantics,HIGH,high,impact_reclassified,high,HIGH,FALSE,TRUE,FALSE,CC:BUG-11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,user-mgmt,Claude Code,single_phase,U21,GET /users/{id} returns 500 for non-existent user instead of 404,HTTP Semantics,HTTP Semantics,HIGH,high,impact_reclassified,high,HIGH,FALSE,TRUE,FALSE,CC:BUG-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,user-mgmt,Claude Code,single_phase,U22,PUT /users/{id} with non-existent ID returns 500 instead of 404,HTTP Semantics,HTTP Semantics,HIGH,high,impact_reclassified,high,HIGH,FALSE,TRUE,FALSE,CC:BUG-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,user-mgmt,Claude Code,single_phase,U23,POST /users requires undocumented mandatory 'phone' field absent from spec schema,API Design,Data Integrity / API Design,MEDIUM,medium,impact_reclassified,medium,MEDIUM,FALSE,TRUE,FALSE,CC:BUG-4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,user-mgmt,Claude Code,single_phase,U24,POST /users/rbac/permissions with duplicate key returns 404 Not Found instead of 409 Conflict,HTTP Semantics,HTTP Semantics,MEDIUM,medium,impact_reclassified,medium,MEDIUM,FALSE,TRUE,FALSE,CC:BUG-5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,user-mgmt,Claude Code,single_phase,U25,POST /login returns 400 Bad Request instead of 401 Unauthorized for invalid credentials,HTTP Semantics,HTTP Semantics,LOW,low,impact_reclassified,low,LOW,FALSE,TRUE,FALSE,CC:BUG-9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,user-mgmt,Claude Code,single_phase,U26,GET /users/rbac/salt returns 201 Created instead of 200 OK (GET must not return 201),HTTP Semantics,HTTP Semantics,LOW,low,impact_reclassified,low,LOW,FALSE,TRUE,FALSE,CC:BUG-7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,user-mgmt,Claude Code,single_phase,U27,Multiple mutation operations return 201 instead of spec-defined 200 (including PUT),HTTP Semantics,HTTP Semantics,LOW,low,impact_reclassified,low,LOW,FALSE,TRUE,FALSE,CC:BUG-8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
bug,user-mgmt,Claude Code,single_phase,U28,updatedDt field is null on newly registered or created users,Data Integrity,Data Integrity / API Design,LOW,low,impact_reclassified,low,LOW,FALSE,TRUE,FALSE,CC:BUG-10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doc/paper/data/bugs_comparison.csv
run_summary,market,ChaosArena,required,,,,,,,,,,,,,,,,,14,14,,4,6,2.383613,5.87,,,,,,,,,,,101,,,,,,,2026-Q2,,,,,,,,,,,,,,,,results/market/ChaosArena/run_0617-market-004.json
run_summary,market,ChaosArena,exploration,,,,,,,,,,,,,,,,,6,,6,0,3,0.915336,6.55,,,,,,,,,,,23,,,,,,,2026-Q2,,,,,,,,,,,,,,,,results/market/ChaosArena/run_0617-market-004.json
run_summary,market,ChaosArena,total,,,,,,,,,,,,,,,,,20,14,6,4,9,3.298949,6.06,3.298949,0.000000,3.298949,6.06,2026-06-17T22:35:09.959798+00:00,2026-06-17T22:38:30.076389+00:00,200.117,3.34,200.1,3.34,124,168,607607,41463,134373,1167615,1951058,2026-Q2,,,,,,,,,,,,,,,,results/market/ChaosArena/run_0617-market-004.json
run_summary,market,Claude Code,single_phase,,,,,,,,,,,,,,,,8,7,,,0,1,1.153159,6.07,,,,,,,,,552.9,9.22,15,,17,38840,63549,627958,730364,,,,,,,,,,,,,,,,,results/market/claude/without-spec/result.json
run_summary,market,AutoRestTest,single_phase,,,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,1200,20.00,,,,,,,,,120525,0,0,0,0,0,0,0,0,120525,13,0,0.0%,16591,"{""getCustomerUsingGET"":42624,""getCartUsingGET"":6579,""getOrdersUsingGET"":6457,""clearCartUsingDELETE"":6452,""updateContactsUsingPUT"":6516,""addItemUsingPUT"":6415,""getOrderUsingGET"":6573,""getProductsUsingGET"":6562,""setDeliveryUsingPUT"":6484,""createCustomerUsingPOST"":6394,""payByCardUsingPOST"":6403,""getProductUsingGET"":6560,""getContactsUsingGET"":6506}",results/market/autorest/report.json
run_summary,tracking,ChaosArena,required,,,,,,,,,,,,,,,,,14,14,,3,11,2.525693,5.54,,,,,,,,,,,60,,,,,,,2026-Q2,,,,,,,,,,,,,,,,results/tracking/ChaosArena/run_0615-tracking-chaosarena.json
run_summary,tracking,ChaosArena,exploration,,,,,,,,,,,,,,,,,6,,6,0,4,0.932506,6.43,,,,,,,,,,,27,,,,,,,2026-Q2,,,,,,,,,,,,,,,,results/tracking/ChaosArena/run_0615-tracking-chaosarena.json
run_summary,tracking,ChaosArena,total,,,,,,,,,,,,,,,,,20,14,6,3,15,3.458199,5.78,3.458199,0.199566,3.657765,5.47,2026-06-16T02:26:50.049926+00:00,2026-06-16T02:34:42.638948+00:00,472.589,7.88,472.6,7.88,87,192,603328,75453,82229,693538,1454548,2026-Q2,,,,,,,,,,,,,,,,results/tracking/ChaosArena/run_0615-tracking-chaosarena.json
run_summary,tracking,Claude Code,single_phase,,,,,,,,,,,,,,,,22,23,,,0,14,1.371842,16.77,,,,,,,,,550.5,9.18,89,,53,26228,49233,2273297,2348811,,,,,,,,,,,,,,,,,results/tracking/claude/without-spec/result.json
run_summary,tracking,AutoRestTest,single_phase,,,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,1200,20.00,,,322583,143486,,,466069,,98787,21970,0,0,76222,234,324,0,0,37,67,46,68.66%,33,"{""findByEmployeeIdAndProjectIdUsingGET"":5,""findByDepartmentIdUsingGET"":1,""findByUsernameUsingGET_1"":1,""findAllByEmployeeIdAndManagerIdUsingGET"":6,""findByIdUsingGET_3"":1,""findByProjectIdUsingGET"":2,""findManagerProjectDataByEmployeeIdUsingGET"":2,""findByIdUsingGET_5"":3,""findByIdUsingGET_2"":2,""findByEmployeeIdAndProjectIdAndCommitDateUsingGET"":4,""findByIdUsingGET_1"":1,""findByIdUsingGET"":4,""findByIdUsingGET_4"":1,""findByUsernameUsingGET"":3,""findByEmployeeProjectDataEmployeeIdUsingGET"":1}",results/tracking/autorest/report.json
run_summary,user-mgmt,ChaosArena,required,,,,,,,,,,,,,,,,,14,14,,4,0,3.205088,4.37,,,,,,,,,,,86,,,,,,,2026-Q2,,,,,,,,,,,,,,,,results/user/ChaosArena/run_0617-user-management-001.json
run_summary,user-mgmt,ChaosArena,exploration,,,,,,,,,,,,,,,,,5,,5,0,0,1.496606,3.34,,,,,,,,,,,35,,,,,,,2026-Q2,,,,,,,,,,,,,,,,results/user/ChaosArena/run_0617-user-management-001.json
run_summary,user-mgmt,ChaosArena,total,,,,,,,,,,,,,,,,,19,14,5,4,0,4.701694,4.04,4.701694,0.187230,4.888924,3.89,2026-06-18T02:04:58.212373+00:00,2026-06-18T02:14:17.847196+00:00,559.635,9.33,559.6,9.33,121,152,812704,92531,139200,1178721,2223156,2026-Q2,,,,,,,,,,,,,,,,results/user/ChaosArena/run_0617-user-management-001.json
run_summary,user-mgmt,Claude Code,single_phase,,,,,,,,,,,,,,,,9,13,,,0,0,1.176065,11.05,,,,,,,,,422.5,7.04,26,,28,29334,53533,1379781,1462676,,,,,,,,,,,,,,,,,results/user/claude/without-spec/result.json
run_summary,user-mgmt,AutoRestTest,single_phase,,,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,1200,20.00,,,103818,36211,,,140029,,115565,16062,6931,1305,54922,27145,152,0,110,8938,21,19,90.48%,1790,"{""updatePermissionUsingPUT"":8886,""createRoleUsingPOST"":49,""addPermissionOnRoleUsingPOST"":2,""createPermissionUsingPOST"":1}",results/user/autorest/report.json
aggregate_summary,all,ChaosArena,total,,,,,,,,,,,,,,,,,59,42,17,11,37,11.458842,5.15,11.458842,0.386796,11.845638,4.98,,,410.780,6.85,410.8,6.85,,,,,,,,,,,,,,,,,,,,,,,,derived from collected rows
aggregate_summary,all,Claude Code,single_phase,,,,,,,,,,,,,,,,39,43,,,0,22,3.701066,11.62,,,,,,,,,,8.48,,,,,,,,,,,,,,,,,,,,,,,,derived from collected rows
aggregate_summary,all,AutoRestTest,single_phase,,,,,,,,,,,,,,,,,0,,,0,0,0.000000,,,,,,,,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,derived from collected rows
aggregate_summary,all,ChaosArena,required,,,,,,,,,,,,,,,,,42,,,11,28,8.114394,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,derived from collected rows
aggregate_summary,all,ChaosArena,exploration,,,,,,,,,,,,,,,,,17,,,0,9,3.344448,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,derived from collected rows
